month,ticker
2020-01,A
2020-01,AAL
2020-01,AAPL
2020-01,ABBV
2020-01,ABMD
2020-01,ABT
2020-01,ACN
2020-01,ADBE
2020-01,ADI
2020-01,ADM
2020-01,ADP
2020-01,ADSK
2020-01,AEE
2020-01,AEP
2020-01,AIV
2020-01,AJG
2020-01,AKAM
2020-01,ALB
2020-01,ALGN
2020-01,ALXN
2020-01,AMAT
2020-01,AMCR
2020-01,AMD
2020-01,AME
2020-01,AMGN
2020-01,AMP
2020-01,AMZN
2020-01,ANET
2020-01,ANSS
2020-01,AON
2020-01,AOS
2020-01,APA
2020-01,APH
2020-01,APTV
2020-01,ARE
2020-01,ARNC
2020-01,ATO
2020-01,ATVI
2020-01,AVB
2020-01,AVGO
2020-01,AVY
2020-01,AWK
2020-01,AZO
2020-01,BA
2020-01,BAX
2020-01,BBY
2020-01,BDX
2020-01,BEN
2020-01,BKNG
2020-01,BKR
2020-01,BLK
2020-01,BMY
2020-01,BR
2020-01,BRK.B
2020-01,BSX
2020-01,BWA
2020-01,BXP
2020-01,CAG
2020-01,CAH
2020-01,CAT
2020-01,CBOE
2020-01,CBRE
2020-01,CCL
2020-01,CDNS
2020-01,CDW
2020-01,CE
2020-01,CERN
2020-01,CF
2020-01,CHD
2020-01,CHRW
2020-01,CHTR
2020-01,CL
2020-01,CMCSA
2020-01,CME
2020-01,CMG
2020-01,CMI
2020-01,CNC
2020-01,COO
2020-01,COP
2020-01,COST
2020-01,COTY
2020-01,CPRT
2020-01,CRM
2020-01,CSCO
2020-01,CSX
2020-01,CTAS
2020-01,CTSH
2020-01,CTVA
2020-01,CTXS
2020-01,CVS
2020-01,CVX
2020-01,CXO
2020-01,D
2020-01,DAL
2020-01,DD
2020-01,DE
2020-01,DG
2020-01,DGX
2020-01,DHI
2020-01,DHR
2020-01,DIS
2020-01,DISH
2020-01,DLR
2020-01,DLTR
2020-01,DOV
2020-01,DOW
2020-01,DRE
2020-01,DTE
2020-01,DUK
2020-01,DVA
2020-01,DVN
2020-01,DXC
2020-01,EBAY
2020-01,ECL
2020-01,ED
2020-01,EFX
2020-01,EIX
2020-01,EL
2020-01,EMN
2020-01,EMR
2020-01,EOG
2020-01,EQIX
2020-01,EQR
2020-01,ES
2020-01,ESS
2020-01,ETN
2020-01,EW
2020-01,EXPD
2020-01,EXPE
2020-01,EXR
2020-01,F
2020-01,FANG
2020-01,FAST
2020-01,FCX
2020-01,FE
2020-01,FFIV
2020-01,FLIR
2020-01,FLS
2020-01,FLT
2020-01,FMC
2020-01,FOX
2020-01,FRT
2020-01,FTI
2020-01,FTNT
2020-01,FTV
2020-01,GD
2020-01,GE
2020-01,GILD
2020-01,GLW
2020-01,GM
2020-01,GOOG
2020-01,GPC
2020-01,GPS
2020-01,GRMN
2020-01,GWW
2020-01,HAL
2020-01,HAS
2020-01,HBI
2020-01,HCA
2020-01,HD
2020-01,HES
2020-01,HFC
2020-01,HLT
2020-01,HOG
