ticker,reason
ABMD,no_data
ALXN,no_data
ANSS,no_data
ARNC,no_data
ATVI,no_data
CDAY,no_data
CERN,no_data
CTLT,no_data
CTXS,no_data
CXO,no_data
DISH,no_data
DRE,no_data
FI,no_data
FLIR,no_data
FLT,no_data
GPS,no_data
HBI,no_data
HES,no_data
HFC,no_data
HOLX,no_data
IPG,no_data
JNPR,no_data
JWN,no_data
K,no_data
KSU,no_data
MRO,no_data
MXIM,no_data
MYL,no_data
NLSN,no_data
PARA,no_data
PEAK,no_data
PKI,no_data
PXD,no_data
SEE,no_data
TIF,no_data
TWTR,no_data
VAR,no_data
WBA,no_data
WRK,no_data
XEC,no_data
XLNX,no_data
INFO,"short_history (185 rows, 2024-10-10 to 2025-07-09)"
KVUE,"short_history (546 rows, 2023-05-04 to 2025-07-09)"
